Code commune;Libellé;Taux AOT;Taux syndicat mixte;Date effet;Codes postaux afférents;
'01004';HOTEL VILLE AMBERIEU-EN-BUGEY ;0.45;0;20100101;'01500';'01501';'01502';'01503';'01504';'01505';'01506';
'01005';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01330';
'01021';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01480';
'01024';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01029';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01270';
'01030';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01480';
'01033';COMMUNE BELLEGARDE/VALSERINE ;0.25;0;20130101;'01200';'01201';'01202';'01203';'01204';'01205';'01206';'01208';
'01038';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01370';
'01040';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01043';CC DE MIRIBEL ET DU PLATEAU ;0.6;0;20110901;'01700';'01702';'01703';'01704';'01708';
'01053';CA BASSIN BOURG-EN-BRESSE ;0.8;0;20160701;'01000';'01001';'01002';'01003';'01004';'01005';'01006';'01007';'01008';'01009';'01010';'01011';'01012';'01013';'01016';'01017';'01018';'01019';'01020';'01059';'01061';'01069';
'01065';CA BASSIN BOURG-EN-BRESSE ;0.8;0;20160701;'01310';
'01069';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01240';
'01072';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01003';'01250';
'01095';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01105';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01390';
'01106';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01108';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01270';
'01115';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01310';
'01125';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01127';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01370';
'01130';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01140';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01310';
'01145';CA BASSIN BOURG-EN-BRESSE ;0.8;0;20160701;'01240';
'01147';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01270';
'01150';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01151';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01160';
'01154';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01157';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01480';
'01163';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01166';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01480';
'01172';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01177';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01184';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01194';SYTRAL ;0.6;0;20150701;'01480';
'01195';CA BASSIN BOURG-EN-BRESSE ;0.8;0;20160701;'01250';
'01196';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01197';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01211';CA BASSIN BOURG-EN-BRESSE ;0.8;0;20160701;'01240';
'01229';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01232';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01851';
'01236';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01340';
'01238';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01600';
'01241';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01009';'01370';
'01245';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01250';
'01249';CC DE MIRIBEL ET DU PLATEAU ;0.6;0;20110901;'01700';'01701';'01702';'01705';'01706';'01708';
'01250';CC DOMBES SAONE-VALLEE ;0.6;0;20160701;'01600';'01601';
'01254';CA BASSIN BOURG-EN-BRESSE ;0;0;20170701;'01003';'01007';'01250';
